Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,17325.679688,17850.589844,16592.570313,17674.390625,17674.390625,2691500000
2015-02-01,17536.609375,18865.390625,17271.869141,18797.939453,18797.939453,2975400000
2015-03-01,18869.400391,19778.599609,18577.060547,19206.990234,19206.990234,3191800000
2015-04-01,19129.75,20252.119141,18927.949219,19520.009766,19520.009766,3047400000
2015-05-01,19510.849609,20655.330078,19257.849609,20563.150391,20563.150391,3291500000
2015-06-01,20444.539063,20952.710938,19990.550781,20235.730469,20235.730469,3459500000
2015-07-01,20291.050781,20850.0,19115.199219,20585.240234,20585.240234,3318200000
2015-08-01,20540.210938,20946.929688,17714.300781,18890.480469,18890.480469,3723100000
2015-09-01,18763.720703,18777.470703,16901.490234,17388.150391,17388.150391,3132300000
2015-10-01,17479.970703,19202.339844,17389.570313,19083.099609,19083.099609,2979600000
2015-11-01,18827.109375,19994.050781,18641.220703,19747.470703,19747.470703,2559500000
2015-12-01,19799.080078,20012.400391,18562.509766,19033.710938,19033.710938,2749100000
2016-01-01,18818.580078,18951.119141,16017.259766,17518.300781,17518.300781,3235900000
2016-02-01,17699.599609,17905.369141,14865.769531,16026.759766,16026.759766,4174100000
2016-03-01,16013.0,17291.349609,15857.370117,16758.669922,16758.669922,3307500000
2016-04-01,16719.560547,17613.560547,15471.799805,16666.050781,16666.050781,3230600000
2016-05-01,16357.099609,17251.359375,15975.469727,17234.980469,17234.980469,2563800000
2016-06-01,17097.220703,17145.949219,14864.009766,15575.919922,15575.919922,3093000000
2016-07-01,15698.019531,16938.960938,15106.519531,16569.269531,16569.269531,2816900000
2016-08-01,16415.310547,16943.669922,15921.040039,16887.400391,16887.400391,2675600000
2016-09-01,16885.160156,17156.359375,16285.410156,16449.839844,16449.839844,2493200000
2016-10-01,16566.029297,17461.029297,16554.830078,17425.019531,17425.019531,2222800000
2016-11-01,17380.539063,18482.939453,16111.80957,18308.480469,18308.480469,3226000000
2016-12-01,18535.240234,19592.900391,18227.390625,19114.369141,19114.369141,3038700000
2017-01-01,19298.679688,19615.400391,18650.330078,19041.339844,19041.339844,2440400000
